-w, -tr, -p, -s, -n, P@k, R@k, A@k, P@k (Rocchio), R@k (Rocchio), A@k (Rocchio)
true, true, true, true, 3, 0.1476190476190476, 0.30666785687089915, 0.06112871870329445, 0.0942857142857143, 0.1536229269479596, 0.0060549908373785525
true, true, true, true, 4, 0.19336734693877553, 0.42823826493484696, 0.10233481822763336, 0.12285714285714285, 0.2263428918043213, 0.0071876548243555586
true, true, true, true, 5, 0.21545454545454545, 0.40698793545337786, 0.13927343631198189, 0.13142857142857142, 0.28895719465859204, 0.0073315009532457735
true, true, true, true, 6, 0.2777777777777777, 0.4969770098710236, 0.3140171303848639, 0.12857142857142856, 0.27937620085039194, 0.007126809583994847
true, true, true, true, 7, 0.2646729279947273, 0.46538129683366064, 0.38822724794027236, 0.1328571428571428, 0.30924706178369415, 0.007125321168047505
true, true, true, true, 8, 0.29145803456948954, 0.41720735195784, 0.505901510762118, 0.13285714285714284, 0.3065681819347097, 0.007240744472245922
true, true, true, false, 3, 0.17771796916533758, 0.26777970685183927, 0.3334607182157566, 0.15857142857142856, 0.40105603802368933, 0.008127434212072689
true, true, true, false, 4, 0.21117566643882432, 0.2415115014908472, 0.5222088539479844, 0.19428571428571423, 0.47534172580560274, 0.010761003710170256
true, true, true, false, 5, 0.2356000481000481, 0.22099907503575714, 0.4714217296113848, 0.18857142857142853, 0.47638374454489424, 0.01911974047338081
true, true, true, false, 6, 0.2819875776397516, 0.20785682128249444, 0.5346445824706695, 0.17714285714285716, 0.4284716747692214, 0.024819708098963715
true, true, true, false, 7, 0.3863945578231293, 0.23062889949987486, 0.633692365835223, 0.17428571428571424, 0.43105670878282676, 0.02956732634265339
true, true, true, false, 8, 0.41795506081220374, 0.23395093006648746, 0.6804857208583917, 0.17714285714285707, 0.45191385163996967, 0.03864887061507069
true, true, false, true, 3, 0.24874674345262582, 0.30014669910638186, 0.38977601141807133, 0.0842857142857143, 0.13273278013963505, 0.005580288526371971
true, true, false, true, 4, 0.1682205513784461, 0.38198996561511905, 0.1056275530593516, 0.12857142857142856, 0.24819247917076268, 0.007408037457432932
true, true, false, true, 5, 0.1710894660894661, 0.3667458922281885, 0.19077916955784227, 0.12285714285714285, 0.2935419101927458, 0.00705397455735207
true, true, false, true, 6, 0.22717247664616083, 0.49174633578320665, 0.28849927653885266, 0.10571428571428572, 0.2563902380513878, 0.00607646075715496
true, true, false, true, 7, 0.22835775335775338, 0.4355624147353668, 0.3725143973490293, 0.11571428571428569, 0.2849618737088585, 0.006532343546842929
true, true, false, true, 8, 0.27965123431288835, 0.42233321487654607, 0.4231996222377817, 0.10714285714285712, 0.2393876513528551, 0.00606701555251355
true, true, false, false, 3, 0.20380372551425185, 0.2525049899862133, 0.39293429607836666, 0.13714285714285715, 0.2913906707531856, 0.00728055984738164
true, true, false, false, 4, 0.21633687682849637, 0.2317578054433355, 0.5518293966569829, 0.18285714285714286, 0.4250512897021253, 0.009738726591029761
true, true, false, false, 5, 0.2847222222222222, 0.21058240836909045, 0.6342352092352094, 0.16857142857142857, 0.3855128931740429, 0.012844577450038796
true, true, false, false, 6, 0.23809523809523808, 0.19208777893179746, 0.46158730158730166, 0.1428571428571428, 0.3339654694162668, 0.013109538330180191
true, true, false, false, 7, 0.2758333333333333, 0.17021277893179743, 0.5123809523809524, 0.13428571428571426, 0.3399426593388821, 0.018569603392347502
true, true, false, false, 8, 0.3280952380952381, 0.1706484765698118, 0.5123671497584541, 0.13714285714285715, 0.3291331355293583, 0.024102001735909036
