--a, --b, P@k (Rocchio), R@k (Rocchio), A@k (Rocchio)
0.0, 0.0, 0.09571428571428571, 0.16418170834450294, 0.005985759718206359
0.0, 0.05, 0.08142857142857142, 0.10313370827964899, 0.005404832163207561
0.0, 0.1, 0.08, 0.10011783526377599, 0.005344807103876205
0.0, 0.15000000000000002, 0.08714285714285715, 0.12754934502518103, 0.005720287041617338
0.0, 0.2, 0.08857142857142859, 0.13163097767824225, 0.005779933011888928
0.0, 0.25, 0.09000000000000001, 0.14115478720205177, 0.005839581088238467
0.0, 0.30000000000000004, 0.09285714285714287, 0.13806864046265424, 0.006018789759691209
0.0, 0.35000000000000003, 0.07428571428571429, 0.14714901077897963, 0.004953664469113712
0.0, 0.4, 0.07857142857142858, 0.1546849524176102, 0.00515124503867026
0.0, 0.45, 0.07714285714285715, 0.14508908568534667, 0.005125993574767486
0.0, 0.5, 0.06714285714285716, 0.1279801368426517, 0.0043854754173415144
0.0, 0.55, 0.06714285714285716, 0.12482193289480015, 0.004495914570736756
0.0, 0.6000000000000001, 0.0642857142857143, 0.12206401665373783, 0.004349436564876668
0.0, 0.65, 0.06142857142857144, 0.1242431339146773, 0.00416262317599187
0.0, 0.7000000000000001, 0.06285714285714286, 0.12269893728865845, 0.004289290427808288
0.0, 0.75, 0.06285714285714286, 0.12433159034988296, 0.004289542630642417
0.0, 0.8, 0.06142857142857144, 0.1242431339146773, 0.00416262317599187
0.0, 0.8500000000000001, 0.06142857142857144, 0.1242431339146773, 0.00416262317599187
0.0, 0.9, 0.06142857142857142, 0.12567170534324873, 0.004162128278320316
0.0, 0.9500000000000001, 0.06428571428571428, 0.13779291746446085, 0.00428116531304039
0.0, 1.0, 0.06428571428571428, 0.13927714752011944, 0.004281293805434754
0.05, 0.0, 0.14999999999999997, 0.2760140843535234, 0.00842066715767523
0.05, 0.05, 0.13428571428571429, 0.20725506559450474, 0.00777244313250811
0.05, 0.1, 0.13, 0.19943760527704443, 0.007591860335543072
0.05, 0.15000000000000002, 0.13714285714285715, 0.23590585924529833, 0.007888793792593904
0.05, 0.2, 0.1385714285714286, 0.2399874918983596, 0.007948439762865495
0.05, 0.25, 0.14, 0.24951130142216915, 0.008008087839215033
0.05, 0.30000000000000004, 0.1385714285714286, 0.2399874918983596, 0.007948439762865495
0.05, 0.35000000000000003, 0.12142857142857143, 0.25183732246729135, 0.006958444397986265
0.05, 0.4, 0.12857142857142856, 0.2620591231385303, 0.007334857195940194
0.05, 0.45, 0.1242857142857143, 0.25047003806629903, 0.007131171010161035
0.05, 0.5, 0.11857142857142858, 0.2305403117898235, 0.006833287470393939
0.05, 0.55, 0.11428571428571428, 0.227116738536355, 0.006565457421418383
0.05, 0.6000000000000001, 0.10857142857142857, 0.21456290392794572, 0.0062994352721809825
