RESULTS FOR java -jar target/searcher.jar -t custom -w true -tr true -p true -s true -n 3
  0 | How use Django for web development  P@k = 0.10000; R@k = 0.13333; A@k = 0.00427
  1 | Recursion speed                     P@k = 0.10000; R@k = 1.00000; A@k = 0.00415
  2 | Templates usage c++                 P@k = 0.35000; R@k = 0.46667; A@k = 0.01461
  3 | How to loop over data               P@k = 0.05000; R@k = 0.16667; A@k = 0.00210
  4 | Python Tkinter button not working   P@k = 0.05000; R@k = 0.33333; A@k = 0.00211
  5 | Issues with Qt                      P@k = 0.66667; R@k = 0.75000; A@k = 1.00000
  6 | Drawing in PyGame on collision      P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
  7 | Python Opencv cannot detect         P@k = 0.05000; R@k = 0.33333; A@k = 0.00211
  8 | How to read and write to a file     P@k = 0.10000; R@k = 0.22222; A@k = 0.00421
  9 | Using nested dictionary             P@k = 0.10000; R@k = 1.00000; A@k = 0.00415
 10 | Computing with timestamps           P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 11 | Lamdba not working                  P@k = 0.15000; R@k = 1.00000; A@k = 0.00621
 12 | How to use class inheritance        P@k = 0.05000; R@k = 0.25000; A@k = 0.00209
 13 | Using class methods                 P@k = 0.20000; R@k = 0.66667; A@k = 0.00828
 14 | Class private members               P@k = 0.05000; R@k = 0.33333; A@k = 0.00209
 15 | How can you use lists in python     P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 16 | Manipulating a list                 P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 17 | How to work with sockets            P@k = 0.05000; R@k = 0.25000; A@k = 0.00209
 18 | REST API requests                   P@k = 0.15000; R@k = 0.60000; A@k = 0.00654
 19 | Create testing environment in python P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 20 | Using nested JSON                   P@k = 0.05000; R@k = 0.25000; A@k = 0.00210
 21 | Operations on Pandas dataframe      P@k = 0.10000; R@k = 0.08000; A@k = 0.00436
 22 | The best way to implement a Numpy array P@k = 0.10000; R@k = 0.20000; A@k = 0.00422
 23 | Multithreading and synchonization   P@k = 0.10000; R@k = 0.20000; A@k = 0.00422
 24 | Sorting Algorithms                  P@k = 0.10000; R@k = 0.66667; A@k = 0.00416
 25 | What’s the difference between passing a parameter by reference or by value P@k = 0.05000; R@k = 0.50000; A@k = 0.00211
 26 | Pointers in C++                     P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 27 | How to Plot data in Python          P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 28 | Sql database                        P@k = 0.40000; R@k = 0.88889; A@k = 0.88889
