RESULTS FOR java -jar target/searcher.jar --rocchio true --a 0.0 --b 0.0
  0 | How use Django for web development  P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
  1 | Recursion speed                     P@k = 0.05000; R@k = 0.50000; A@k = 0.00208
  2 | Templates usage c++                 P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
  3 | How to loop over data               P@k = 0.05000; R@k = 0.16667; A@k = 0.00210
  4 | Python Tkinter button not working   P@k = 0.05000; R@k = 0.33333; A@k = 0.00209
  5 | Issues with Qt                      P@k = 0.10000; R@k = 0.12500; A@k = 0.00427
  6 | Drawing in PyGame on collision      P@k = 0.05000; R@k = 0.33333; A@k = 0.00209
  7 | Python Opencv cannot detect         P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
  8 | How to read and write to a file     P@k = 0.10000; R@k = 0.22222; A@k = 0.00421
  9 | Using nested dictionary             P@k = 0.05000; R@k = 0.50000; A@k = 0.00208
 10 | Computing with timestamps           P@k = 0.05000; R@k = 0.25000; A@k = 0.00209
 11 | Lamdba not working                  P@k = 0.05000; R@k = 0.33333; A@k = 0.00209
 12 | How to use class inheritance        P@k = 0.05000; R@k = 0.25000; A@k = 0.00209
 13 | Using class methods                 P@k = 0.05000; R@k = 0.16667; A@k = 0.00210
 14 | Class private members               P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 15 | How can you use lists in python     P@k = 0.15000; R@k = 0.30000; A@k = 0.00630
 16 | Manipulating a list                 P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 17 | How to work with sockets            P@k = 0.10000; R@k = 0.50000; A@k = 0.00417
 18 | REST API requests                   P@k = 0.05000; R@k = 0.20000; A@k = 0.00210
 19 | Create testing environment in python P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 20 | Using nested JSON                   P@k = 0.05000; R@k = 0.25000; A@k = 0.00209
 21 | Operations on Pandas dataframe      P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 22 | The best way to implement a Numpy array P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 23 | Multithreading and synchonization   P@k = 0.05000; R@k = 0.10000; A@k = 0.00212
 24 | Sorting Algorithms                  P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 25 | What’s the difference between passing a parameter by reference or by value P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 26 | Pointers in C++                     P@k = 0.20000; R@k = 0.44444; A@k = 0.00833
 27 | How to Plot data in Python          P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 28 | Sql database                        P@k = 0.05000; R@k = 0.11111; A@k = 0.00211
 29 | How to get my regex to work         P@k = 0.15000; R@k = 0.27273; A@k = 0.00630
 30 | Neural Networks tensors in keras    P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 31 | Beautifulsoup web scrapers          P@k = 0.05000; R@k = 0.14286; A@k = 0.00211
 32 | New to programming                  P@k = 0.10000; R@k = 0.09091; A@k = 0.00432
 98 | Python                              P@k = 0.85000; R@k = 0.05263; A@k = 0.08901
 99 | C++                                 P@k = 0.90000; R@k = 0.10112; A@k = 0.05325
Weighted Precision@20 = 0.09571428571428571
Weighted Recall@20    = 0.16418170834450294
Weighted Accuracy@20    = 0.005985759718206359


RESULTS FOR java -jar target/searcher.jar --rocchio true --a 0.0 --b 0.05
  0 | How use Django for web development  P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
  1 | Recursion speed                     P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
  2 | Templates usage c++                 P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
  3 | How to loop over data               P@k = 0.05000; R@k = 0.16667; A@k = 0.00210
  4 | Python Tkinter button not working   P@k = 0.05000; R@k = 0.33333; A@k = 0.00209
  5 | Issues with Qt                      P@k = 0.05000; R@k = 0.06250; A@k = 0.00215
  6 | Drawing in PyGame on collision      P@k = 0.05000; R@k = 0.33333; A@k = 0.00209
  7 | Python Opencv cannot detect         P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
  8 | How to read and write to a file     P@k = 0.05000; R@k = 0.11111; A@k = 0.00211
  9 | Using nested dictionary             P@k = 0.05000; R@k = 0.50000; A@k = 0.00208
 10 | Computing with timestamps           P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 11 | Lamdba not working                  P@k = 0.05000; R@k = 0.33333; A@k = 0.00209
 12 | How to use class inheritance        P@k = 0.05000; R@k = 0.25000; A@k = 0.00209
 13 | Using class methods                 P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 14 | Class private members               P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 15 | How can you use lists in python     P@k = 0.10000; R@k = 0.20000; A@k = 0.00422
 16 | Manipulating a list                 P@k = 0.05000; R@k = 0.20000; A@k = 0.00210
 17 | How to work with sockets            P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 18 | REST API requests                   P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 19 | Create testing environment in python P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 20 | Using nested JSON                   P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 21 | Operations on Pandas dataframe      P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 22 | The best way to implement a Numpy array P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 23 | Multithreading and synchonization   P@k = 0.05000; R@k = 0.10000; A@k = 0.00212
 24 | Sorting Algorithms                  P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 25 | What’s the difference between passing a parameter by reference or by value P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 26 | Pointers in C++                     P@k = 0.10000; R@k = 0.22222; A@k = 0.00420
 27 | How to Plot data in Python          P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 28 | Sql database                        P@k = 0.10000; R@k = 0.22222; A@k = 0.00420
 29 | How to get my regex to work         P@k = 0.10000; R@k = 0.18182; A@k = 0.00422
 30 | Neural Networks tensors in keras    P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 31 | Beautifulsoup web scrapers          P@k = 0.05000; R@k = 0.14286; A@k = 0.00211
 32 | New to programming                  P@k = 0.10000; R@k = 0.09091; A@k = 0.00432
 98 | Python                              P@k = 0.85000; R@k = 0.05263; A@k = 0.08901
 99 | C++                                 P@k = 0.95000; R@k = 0.10674; A@k = 0.05588
Weighted Precision@20 = 0.08142857142857142
Weighted Recall@20    = 0.10313370827964899
Weighted Accuracy@20    = 0.005404832163207561


RESULTS FOR java -jar target/searcher.jar --rocchio true --a 0.0 --b 0.1
  0 | How use Django for web development  P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
  1 | Recursion speed                     P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
  2 | Templates usage c++                 P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
  3 | How to loop over data               P@k = 0.05000; R@k = 0.16667; A@k = 0.00210
  4 | Python Tkinter button not working   P@k = 0.05000; R@k = 0.33333; A@k = 0.00209
  5 | Issues with Qt                      P@k = 0.05000; R@k = 0.06250; A@k = 0.00215
  6 | Drawing in PyGame on collision      P@k = 0.05000; R@k = 0.33333; A@k = 0.00209
  7 | Python Opencv cannot detect         P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
  8 | How to read and write to a file     P@k = 0.05000; R@k = 0.11111; A@k = 0.00211
  9 | Using nested dictionary             P@k = 0.05000; R@k = 0.50000; A@k = 0.00208
 10 | Computing with timestamps           P@k = 0.05000; R@k = 0.25000; A@k = 0.00209
 11 | Lamdba not working                  P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 12 | How to use class inheritance        P@k = 0.05000; R@k = 0.25000; A@k = 0.00209
 13 | Using class methods                 P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 14 | Class private members               P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 15 | How can you use lists in python     P@k = 0.10000; R@k = 0.20000; A@k = 0.00422
 16 | Manipulating a list                 P@k = 0.05000; R@k = 0.20000; A@k = 0.00210
 17 | How to work with sockets            P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 18 | REST API requests                   P@k = 0.05000; R@k = 0.20000; A@k = 0.00210
 19 | Create testing environment in python P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 20 | Using nested JSON                   P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 21 | Operations on Pandas dataframe      P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 22 | The best way to implement a Numpy array P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 23 | Multithreading and synchonization   P@k = 0.05000; R@k = 0.10000; A@k = 0.00212
 24 | Sorting Algorithms                  P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 25 | What’s the difference between passing a parameter by reference or by value P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 26 | Pointers in C++                     P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 27 | How to Plot data in Python          P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 28 | Sql database                        P@k = 0.10000; R@k = 0.22222; A@k = 0.00420
 29 | How to get my regex to work         P@k = 0.10000; R@k = 0.18182; A@k = 0.00422
 30 | Neural Networks tensors in keras    P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 31 | Beautifulsoup web scrapers          P@k = 0.05000; R@k = 0.14286; A@k = 0.00211
 32 | New to programming                  P@k = 0.10000; R@k = 0.09091; A@k = 0.00432
 98 | Python                              P@k = 0.85000; R@k = 0.05263; A@k = 0.08901
 99 | C++                                 P@k = 0.95000; R@k = 0.10674; A@k = 0.05588
Weighted Precision@20 = 0.08
Weighted Recall@20    = 0.10011783526377599
Weighted Accuracy@20    = 0.005344807103876205


RESULTS FOR java -jar target/searcher.jar --rocchio true --a 0.0 --b 0.15000000000000002
  0 | How use Django for web development  P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
  1 | Recursion speed                     P@k = 0.05000; R@k = 0.50000; A@k = 0.00208
  2 | Templates usage c++                 P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
  3 | How to loop over data               P@k = 0.05000; R@k = 0.16667; A@k = 0.00210
  4 | Python Tkinter button not working   P@k = 0.05000; R@k = 0.33333; A@k = 0.00209
  5 | Issues with Qt                      P@k = 0.10000; R@k = 0.12500; A@k = 0.00427
  6 | Drawing in PyGame on collision      P@k = 0.05000; R@k = 0.33333; A@k = 0.00209
  7 | Python Opencv cannot detect         P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
  8 | How to read and write to a file     P@k = 0.05000; R@k = 0.11111; A@k = 0.00211
  9 | Using nested dictionary             P@k = 0.05000; R@k = 0.50000; A@k = 0.00208
 10 | Computing with timestamps           P@k = 0.05000; R@k = 0.25000; A@k = 0.00209
 11 | Lamdba not working                  P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 12 | How to use class inheritance        P@k = 0.05000; R@k = 0.25000; A@k = 0.00209
 13 | Using class methods                 P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 14 | Class private members               P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 15 | How can you use lists in python     P@k = 0.10000; R@k = 0.20000; A@k = 0.00422
 16 | Manipulating a list                 P@k = 0.05000; R@k = 0.20000; A@k = 0.00210
 17 | How to work with sockets            P@k = 0.10000; R@k = 0.50000; A@k = 0.00417
 18 | REST API requests                   P@k = 0.05000; R@k = 0.20000; A@k = 0.00210
 19 | Create testing environment in python P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 20 | Using nested JSON                   P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 21 | Operations on Pandas dataframe      P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 22 | The best way to implement a Numpy array P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 23 | Multithreading and synchonization   P@k = 0.05000; R@k = 0.10000; A@k = 0.00212
 24 | Sorting Algorithms                  P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 25 | What’s the difference between passing a parameter by reference or by value P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 26 | Pointers in C++                     P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 27 | How to Plot data in Python          P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 28 | Sql database                        P@k = 0.05000; R@k = 0.11111; A@k = 0.00211
 29 | How to get my regex to work         P@k = 0.10000; R@k = 0.18182; A@k = 0.00422
 30 | Neural Networks tensors in keras    P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 31 | Beautifulsoup web scrapers          P@k = 0.05000; R@k = 0.14286; A@k = 0.00211
 32 | New to programming                  P@k = 0.10000; R@k = 0.09091; A@k = 0.00432
 98 | Python                              P@k = 0.90000; R@k = 0.05573; A@k = 0.09326
 99 | C++                                 P@k = 1.00000; R@k = 0.11236; A@k = 0.05848
Weighted Precision@20 = 0.08714285714285715
Weighted Recall@20    = 0.12754934502518103
Weighted Accuracy@20    = 0.005720287041617338


RESULTS FOR java -jar target/searcher.jar --rocchio true --a 0.0 --b 0.2
  0 | How use Django for web development  P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
  1 | Recursion speed                     P@k = 0.05000; R@k = 0.50000; A@k = 0.00208
  2 | Templates usage c++                 P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
  3 | How to loop over data               P@k = 0.05000; R@k = 0.16667; A@k = 0.00210
  4 | Python Tkinter button not working   P@k = 0.05000; R@k = 0.33333; A@k = 0.00209
  5 | Issues with Qt                      P@k = 0.10000; R@k = 0.12500; A@k = 0.00427
  6 | Drawing in PyGame on collision      P@k = 0.05000; R@k = 0.33333; A@k = 0.00209
  7 | Python Opencv cannot detect         P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
  8 | How to read and write to a file     P@k = 0.05000; R@k = 0.11111; A@k = 0.00211
  9 | Using nested dictionary             P@k = 0.05000; R@k = 0.50000; A@k = 0.00208
 10 | Computing with timestamps           P@k = 0.05000; R@k = 0.25000; A@k = 0.00209
 11 | Lamdba not working                  P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 12 | How to use class inheritance        P@k = 0.05000; R@k = 0.25000; A@k = 0.00209
 13 | Using class methods                 P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 14 | Class private members               P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 15 | How can you use lists in python     P@k = 0.10000; R@k = 0.20000; A@k = 0.00422
 16 | Manipulating a list                 P@k = 0.05000; R@k = 0.20000; A@k = 0.00210
 17 | How to work with sockets            P@k = 0.10000; R@k = 0.50000; A@k = 0.00417
 18 | REST API requests                   P@k = 0.05000; R@k = 0.20000; A@k = 0.00210
 19 | Create testing environment in python P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 20 | Using nested JSON                   P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 21 | Operations on Pandas dataframe      P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 22 | The best way to implement a Numpy array P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 23 | Multithreading and synchonization   P@k = 0.05000; R@k = 0.10000; A@k = 0.00212
 24 | Sorting Algorithms                  P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 25 | What’s the difference between passing a parameter by reference or by value P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 26 | Pointers in C++                     P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 27 | How to Plot data in Python          P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 28 | Sql database                        P@k = 0.05000; R@k = 0.11111; A@k = 0.00211
 29 | How to get my regex to work         P@k = 0.10000; R@k = 0.18182; A@k = 0.00422
 30 | Neural Networks tensors in keras    P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 31 | Beautifulsoup web scrapers          P@k = 0.10000; R@k = 0.28571; A@k = 0.00419
 32 | New to programming                  P@k = 0.10000; R@k = 0.09091; A@k = 0.00432
 98 | Python                              P@k = 0.90000; R@k = 0.05573; A@k = 0.09326
 99 | C++                                 P@k = 1.00000; R@k = 0.11236; A@k = 0.05848
Weighted Precision@20 = 0.08857142857142859
Weighted Recall@20    = 0.13163097767824225
Weighted Accuracy@20    = 0.005779933011888928


RESULTS FOR java -jar target/searcher.jar --rocchio true --a 0.0 --b 0.25
  0 | How use Django for web development  P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
  1 | Recursion speed                     P@k = 0.05000; R@k = 0.50000; A@k = 0.00208
  2 | Templates usage c++                 P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
